row,orderID,orderDate,shipDate,shipMode,profit,quantity,sales
317,CA-2011-125997,2013-09-20 00:00:00,2013-09-23 00:00:00,First Class,992.71,25.00,3519.37
3860,CA-2014-152912,2016-11-09 00:00:00,2016-11-12 00:00:00,Second Class,991.36,17.00,3013.78
1123,CA-2012-124933,2014-12-26 00:00:00,2014-12-30 00:00:00,Second Class,99.94,6.00,212.64
2848,CA-2014-102155,2016-07-13 00:00:00,2016-07-17 00:00:00,Standard Class,99.94,4.00,373.94
3233,CA-2014-121706,2016-02-27 00:00:00,2016-03-02 00:00:00,Standard Class,99.90,7.00,356.79
1714,CA-2013-101161,2015-10-14 00:00:00,2015-10-21 00:00:00,Standard Class,99.85,18.00,279.67
2918,CA-2014-105214,2016-06-16 00:00:00,2016-06-19 00:00:00,First Class,99.69,9.00,1231.50
2256,CA-2013-136133,2015-08-19 00:00:00,2015-08-24 00:00:00,Second Class,99.49,9.00,355.32
1271,CA-2012-135538,2014-12-24 00:00:00,2014-12-28 00:00:00,Standard Class,99.43,4.00,883.84
2469,CA-2013-149503,2015-12-10 00:00:00,2015-12-13 00:00:00,First Class,99.30,8.00,273.92
