c.name,c.symbol,c.marketcapamount,c.ipoyear,total_sale,total_count
Viacom Inc.,VIA,3540000000,NULL,268688.9,72
Liberty Interactive Corporation,LVNTA,5630000000,NULL,382965.65,115
VimpelCom Ltd.,VIP,9170000000,NULL,350878.6,111
Garmin Ltd.,GRMN,9450000000,2000,258010.3,72
KLA-Tencor Corporation,KLAC,10570000000,1980,247250.15,71
Altera Corporation,ALTR,10870000000,1988,181035.35,61
Catamaran Corporation,CTRX,10930000000,NULL,136885.8,53
Linear Technology Corporation,LLTC,11540000000,1986,283249.9,84
Tractor Supply Company,TSCO,11980000000,1994,283842.15,84
NVIDIA Corporation,NVDA,12140000000,1999,278560.55,72
Fastenal Company,FAST,12650000000,1987,233567.8,75
Liberty Media Corporation,LMCA,13210000000,NULL,422022.6,120
Lam Research Corporation,LRCX,13360000000,1984,255545.85,75
Bed Bath & Beyond Inc.,BBBY,14270000000,1992,274058.6,79
CA Inc.,CA,14540000000,NULL,280715.2,83
SBA Communications Corporation,SBAC,15650000000,1999,304302.55,79
Check Point Software Technologies Ltd.,CHKP,15740000000,1996,343460.25,99
Sigma-Aldrich Corporation,SIAL,16570000000,NULL,227436.1,63
DISH Network Corporation,DISH,17470000000,1995,352617.25,97
Symantec Corporation,SYMC,17530000000,1989,278809.05,76
SanDisk Corporation,SNDK,17600000000,1995,256521.9,81
Electronic Arts Inc.,EA,17880000000,NULL,419080.65,112
NXP Semiconductors N.V.,NXPI,19540000000,2010,168652.45,50
Monster Beverage Corporation,MNST,20340000000,NULL,243519.7,70
Seagate Technology.,STX,20420000000,2002,358872.8,102
Sirius XM Holdings Inc.,SIRI,21540000000,NULL,230449.3,74
Mylan Inc.,MYL,21660000000,NULL,212203.85,60
PACCAR Inc.,PCAR,22870000000,NULL,244802.5,77
Marriott International,MAR,23520000000,NULL,256970.4,78
Cerner Corporation,CERN,24690000000,1986,305147.65,78
Western Digital Corporation,WDC,25720000000,NULL,250660.1,70
Broadcom Corporation,BRCM,26760000000,1998,373237.85,101
Intuit Inc.,INTU,27610000000,1993,280125.65,79
Avago Technologies Limited,AVGO,28610000000,2009,267124.45,81
Vertex Pharmaceuticals Incorporated,VRTX,28710000000,1991,155151.1,48
Cognizant Technology Solutions Corporation,CTSH,38390000000,1998,328815.7,93
Adobe Systems Incorporated,ADBE,39140000000,1986,266103.3,80
Yahoo! Inc.,YHOO,41790000000,1996,265540.45,82
DIRECTV,DTV,43830000000,NULL,298242.05,82
Liberty Global plc,LBTYA,47240000000,NULL,454522.0,141
Texas Instruments Incorporated,TXN,61810000000,NULL,208746.75,54
Express Scripts Holding Company,ESRX,63170000000,1992,218628.95,62
The Priceline Group Inc.,PCLN,63680000000,1999,279131.45,78
Costco Wholesale Corporation,COST,64990000000,NULL,269933.9,89
Starbucks Corporation,SBUX,70110000000,1992,230258.55,70
eBay Inc.,EBAY,70210000000,1998,285431.65,78
Vodafone Group Plc,VOD,95170000000,NULL,342237.75,102
Biogen Idec Inc.,BIIB,95730000000,NULL,303572.5,89
Celgene Corporation,CELG,98580000000,1987,385686.8,118
QUALCOMM Incorporated,QCOM,117980000000,1991,172967.3,43
Amgen Inc.,AMGN,119930000000,1983,292386.8,85
Comcast Corporation,CMCSA,151820000000,NULL,699603.0,188
Intel Corporation,INTC,162970000000,NULL,303941.05,92
Microsoft Corporation,MSFT,359780000000,1986,207948.9,61
Google Inc.,GOOG,366820000000,2004,522224.85,157
Apple Inc.,AAPL,754280000000,1980,240962.3,69
