year,country,T
2001,Takhar,1
2005,Helmand,1
2005,Kandahar,1
2008,Kandahar,1
2009,Ghazni,1
2006,Ghazni,1
2009,Nangarhar,1
2010,Herat,1
2011,Herat,1
2003,Ghazni,0
2011,Wardak,0
2016,Zabul,0
2015,Herat,0
2014,Paktia,0
2014,Logar,0
2014,Kapisa,0
2017,Jawzjan,0
2014,Baghlan,0
2013,Kunar,0
2013,Faryab,0
2013,Balochistan,0
2012,Nangarhar,0
2012,Kunar,0
2012,Herat,0
2011,Parwan,0
2011,Nangarhar,0
2011,Khyber Pakhtunkhwa,0
2011,Kandahar,0
2006,Khost,0
2011,Helmand,0
2011,Ghazni,0
2010,Nangarhar,0
2010,Kandahar,0
2006,Helmand,0
2010,Ghazni,0
2009,Wardak,0
2009,Paktika,0
2009,Nimroz,0
2006,Balochistan,0
2009,Kunduz,0
2009,Kunar,0
2009,Khost,0
2009,Ghor,0
2005,Uruzgan,0
2009,Federally Administered Tribal Areas,0
2008,Paktia,0
2008,Logar,0
2005,Kunar,0
2008,Helmand,0
2008,Faryab,0
2007,Uruzgan,0
2007,Paktika,0
2007,Nangarhar,0
2007,Farah,0
2006,Takhar,0
2006,Paktika,0
2006,Nimroz,0
2006,Nangarhar,0
2003,Zabul,0
2016,Baghlan,0
2016,Ghor,0
2003,Nimroz,0
2006,Farah,0
2016,Faryab,0
2005,Zabul,0
2016,Sari Pul,0
2005,Paktika,0
2016,Jawzjan,0
2005,Khost,0
2014,Faryab,0
2005,Kabul,0
2005,Ghazni,0
2004,Zabul,0
2004,Paktika,0
2004,Nangarhar,0
2004,Kandahar,0
2004,Kabul,0
2004,Helmand,0
2004,Ghazni,0
2006,Kandahar,0
2016,Khyber Pakhtunkhwa,0
2003,Kandahar,0
2002,Ghazni,0
2001,Bamyan,0
